,question,entities,MuHeQA_Keywords,FLERT_NER,BERT_NER,RoBERTA_NER
515,What sort of music is featured on recitation,['Recitation'],"['music', 'recitation']",[],[],[]
516,What is the birth place of vahan gevorgyan?,['Vahan Gevorgyan'],['vahan gevorgyan'],['vahan gevorgyan'],['v'],['vahan gevorgyan']
517,where was andy todd born?,['Andy Todd'],['andy todd'],['andy todd'],[],['andy todd']
518,which country is jane swisshelm from,['Jane Swisshelm'],['jane swisshelm'],['jane swisshelm'],[],['jane swisshelm']
519,which movie is documentary film,['documentary film'],"['movie', 'documentary film']",[],[],[]
520,which language was used in the film magic waltz,['Magic Waltz'],['film magic waltz'],[],[],['magic waltz']
521,What is john b. haskin's profession,['John B. Haskin'],['john b. haskin'],['john b. haskin'],[],['john b. haskin']
522,who was an american football player and a participant in world war ii,['World War II'],"['american football player and', 'world war ii']","['american', 'world war ii']",['an'],"['american', 'world war ii']"
523,What european country is matteo momentè from,['Matteo Momentè'],"['matteo momente', 'european country']","['european', 'matteo momentè']",[],"['european', 'matteo momentÃ¨']"
524,What language was sybil written in,['Sybil'],['sybil'],[],[],['sybil']
525,where was karl burdach born ,['Karl Burdach'],['karl burdach'],['karl burdach'],[],['karl burdach']
526,"Who was the author of bill, the galactic hero?","['Bill, the Galactic Hero']","['bill, the galactic hero']",[],[],['bill']
527,what kind of tv program is rollergirls,['Rollergirls'],['rollergirls'],['rollergirls'],[],['rollergirls']
528,Which artist released the album truth,['Truth'],"['artist', 'album truth']",[],[],[]
529,What gender is adrien robinson?,['Adrien Robinson'],['adrien robinson'],['adrien robinson'],['ad'],['adrien robinson']
530,what did lysander spooner author,['Lysander Spooner'],['lysander spooner'],['lysander spooner'],[],['lysander spooner']
531,where was doug west born,['Doug West'],['doug west'],['doug west'],[],['doug west']
532,Which position does the basketball player jack cooley play,['Jack Cooley'],['basketball player jack cooley play'],['jack cooley'],[],['jack cooley']
533,whats the location of jurriaan andriessen's death,['Jurriaan Andriessen'],['jurriaan andriessen'],['jurriaan andriessen'],['andries'],['jurriaan andriessen']
534,what kinds of movie is bad day at black rock,['Bad Day at Black Rock'],['black rock'],['bad day at black rock'],[],['bad day at black rock']
535,who is a pitcher born in philadelphia,['Philadelphia'],['philadelphia'],['philadelphia'],[],['philadelphia']
536,what label is lavern baker under?,['LaVern Baker'],['lavern baker'],[],[],['lavern baker']
537,In which region was the 12539 chaikin discovered?,['12539 Chaikin'],['12539 chaikin'],[],[],[]
538,which european language is traffic jam spoken in?,['Traffic Jam'],['european language'],['european'],[],['european']
539,what city on the west coast is the place of birth of richard a. jones,['Richard A. Jones'],"['west coast', 'richard a. jones']","['coast', 'richard a. jones']",[],['richard a. jones']
540,which country is parijat (writer) from,['Parijat'],['parijat'],[],[],['parijat']
541,What kind of film is woman of rome classified as,['Woman of Rome'],['woman of rome'],['woman of rome'],[],['woman of rome']
542,Which country is michael kenworthy from,['Michael Kenworthy'],['michael kenworthy'],['michael kenworthy'],[],['michael kenworthy']
543,what gender is marek koterski,['Marek Koterski'],['marek koterski'],['marek koterski'],[],['marek koterski']
544,who created the chappelle's show,"[""Chappelle's Show""]","[""chappelle's""]",['chappelle'],[],[]
545,which position on the field does yeo hyo-jin play,['Yeo Hyo-jin'],['yeo hyo-jin'],['yeo hyo-jin'],[],['yeo hyo-jin']
546,Where was katie cassidy born,['Katie Cassidy'],['katie cassidy'],['katie cassidy'],[],['katie cassidy']
547,what company did publish brothers in arms ds game,['Brothers in Arms DS'],['brothers in arms ds'],['brothers in arms ds'],[],['brothers in arms ds game']
548,who is a male that was born in huy,['Huy'],['huy'],[],[],['huy']
549,What's an instrument that george c. baker played,['George C. Baker'],['george c. baker'],['george c. baker'],[],['george c. baker']
550,what is arthur hallam's place of death?,['Arthur Hallam'],['arthur hallam'],['arthur hallam'],[],['arthur hallam']
551,what artist is part of the new wave music genre,['new wave'],['new wave music genre'],[],[],[]
552,joseph taylor robinson house is an example of what type of architecture? ,['Joseph Taylor Robinson House'],['joseph taylor robinson house'],['joseph taylor robinson'],[],['joseph taylor robinson house']
553,Where was william henry allen's place of birth?,['William Henry Allen'],['william henry allen'],['william henry allen'],['will'],['william henry allen']
554,What is the name of a forward in football,['forward'],['football'],[],[],[]
555,What gender is melchior berri,['Melchior Berri'],['melchior berri'],['melchior berri'],[],['melchior berri']
556,Name someone who was born in toronto,['Toronto'],['toronto'],['toronto'],[],['toronto']
557,which city was johan inger born ,['Johan Inger'],['johan inger'],['johan inger'],[],['johan inger']
558,"which politician was born in salem, tamil nadu?",['Salem'],"['salem', 'tamil nadu']","['salem', 'tamil nadu']",[],"['salem', 'tamil nadu']"
559,what gender group does susan owens belong to,['Susan Owens'],['susan owens'],['susan owens'],[],['susan owens']
560,What is max alexander's gender?,['Max Alexander'],['max alexander'],['max alexander'],[],['max alexander']
561,What swedish city was gerard de geer born in?,['Gerard De Geer'],"['swedish city', 'gerard de geer']","['swedish', 'gerard de geer']",[],"['swedish', 'gerard de geer']"
562,where is the show master blasters broadcast,['Master Blasters'],['show master blasters'],[],[],[]
563,Who was born in corpus christi?,['Corpus Christi'],['corpus christi'],[],[],['corpus christi']
564,which war did neil hamilton fairley get involved,['Neil Hamilton Fairley'],['neil hamilton fairley'],['neil hamilton fairley'],[],['neil hamilton fairley']
565,what is the language spoken in nightmare city,['Nightmare City'],['nightmare city'],[],[],[]
566,who directed the film the scalphunters,['The Scalphunters'],['the scalphunters'],[],[],['the scalphunters']
567,What is the administrative parent of metropolitan borough of rochdale?,['Rochdale'],['rochdale'],"['metropolitan borough of', 'rochdale']",['rochdale'],['rochdale']
568,This is the ethnicity of lynette boggs.,['Lynette Boggs'],['lynette boggs'],[],[],['lynette boggs']
569,Who wrote the tv episode the natural order?,['The Natural Order'],['the natural order'],[],[],['the natural order']
570,who created ganging up on the sun,['Ganging Up on the Sun'],['sun'],[],[],[]
571,which actor was born in halifax?,['Halifax'],['halifax'],['halifax'],[],['halifax']
572,"What profession was baltasar de la cueva, count of castellar?","['Baltasar de la Cueva, Count of Castellar']","['baltasar de la cueva', 'castellar']","['baltasar de la cueva', 'castellar']",[],"['baltasar de la cueva', 'castellar']"
573,which city was georges doriot born,['Georges Doriot'],['georges doriot'],['georges doriot'],[],['georges doriot']
574,What is aneek dhar's place of birth,['Aneek Dhar'],['aneek dhar'],['aneek dhar'],[],['aneek dhar']
575,which towns are located in isle of wight county?,['Isle of Wight County'],['isle of wight'],['isle of wight'],[],['isle of wight']
576,what is the place of birth of ralf jäger?,['Ralf Jäger'],['ralf jager'],['ralf jäger'],[],['ralf jÃ¤ger']
577,where is wilhelm beck's death place,['Wilhelm Beck'],['wilhelm beck'],['wilhelm beck'],[],['wilhelm beck']
578,is michael staniforth from united kingdom or united states,['Michael Staniforth'],"['michael staniforth', 'united kingdom or united states']","['michael staniforth', 'united kingdom', 'united states']",[],"['michael staniforth', 'united kingdom', 'united states']"
579,Name someone who was interred at westminster abbey,['Westminster Abbey'],['westminster abbey'],['westminster abbey'],['westminster'],['westminster abbey']
580,Who was named for xiu xiu: the sent down girl?,['Xiu Xiu: The Sent Down Girl'],['xiu xiu'],[],['x'],['xiu xiu']
581,what movie was produced by hal roach?,['Hal Roach'],['hal roach'],['hal roach'],[],['hal roach']
582,what is hwang byung-ju's nationality?,['Hwang Byung-ju'],['hwang byung-ju'],['hwang byung-ju'],[],['hwang byung-ju']
583,what city did lou perryman die in?,['Lou Perryman'],['lou perryman'],['lou perryman'],[],['lou perryman']
584,What language is still kicking: the fabulous palm springs follies filmed in?,['Still Kicking: The Fabulous Palm Springs Follies'],['fabulous palm springs follies'],[],[],[]
585,where did bobby durham pass away,['Bobby Durham'],['bobby durham'],['bobby durham'],[],['bobby durham']
586,what film is a romantic comedy?,['romantic comedy'],"['film', 'romantic comedy']",[],[],[]
587,what is lars eriksson's nationality,['Lars Eriksson'],['lars eriksson'],['lars eriksson'],['iksson'],['lars eriksson']
588,Name someone who was born in birmingham,['Birmingham'],['birmingham'],['birmingham'],['bi'],['birmingham']
589,what label is david vanian with ,['David Vanian'],['david vanian'],['david vanian'],['da'],['david vanian']
590,what east coast city did paris theodore die in,['Paris Theodore'],"['paris theodore', 'east coast city']","['coast', 'paris theodore']",[],"['east coast', 'paris theodore']"
591,what is the nationality of gerardo esquivel?,['Gerardo Esquivel'],['gerardo esquivel'],['gerardo esquivel'],[],['gerardo esquivel']
592,which movie did agnieszka holland write,['Agnieszka Holland'],['agnieszka holland'],['agnieszka holland'],['gnieszka holland'],['agnieszka holland']
593,which artist is signed with delicious vinyl?,['Delicious Vinyl'],['delicious vinyl'],[],[],[]
594,who wrote victor victoria,['Victor Victoria'],['victor victoria'],[],[],['victor victoria']
595,which artist released live from across the pond?,['Live from Across the Pond'],['live from across the pond'],[],[],[]
596,Name a 1971 drama film,['drama film'],['name'],[],[],[]
597,what genre does american music club belong to,['American Music Club'],['american music club'],[],[],['american']
598,what album was created by linda ronstadt,['Linda Ronstadt'],['linda ronstadt'],['linda ronstadt'],[],['linda ronstadt']
599,who recorded the album living in the material world,['Living in the Material World'],"['who', 'material world']",[],[],[]
600,Who's a musician that writes film scores,['film score'],"['musician', 'film scores']",[],[],[]
601,What profession does Lucy Russell have?,['Lucy Russell'],['lucy russell'],['Lucy Russell'],['Lucy Russell'],['Lucy Russell']
602,What is the name of an action film,['action film'],['action film'],[],[],[]
603,what types of music is p.a.r.c.e.,['P.A.R.C.E.'],['p.a.r.c.e'],[],[],[]
604,who is the writer of chance and necessity,['Chance and Necessity'],['chance and necessity'],[],[],[]
605,What is a film created by mosfilm?,['Mosfilm'],['mosfilm'],['mosfilm'],[],['mosfilm']
606,what foreign artist sings pop music,['pop music'],"['foreign artist', 'pop music']",[],[],[]
607,what type of music does  switchblade symphony create,['Switchblade Symphony'],['switchblade symphony'],[],[],['switchblade symphony']
608,who is a male character?,['male'],['male character'],[],[],[]
609,is saigon kick heavy metal or rock,['Saigon Kick'],['saigon'],[],[],['saigon']
610,What is yuriko yamamoto's profession?,['Yuriko Yamamoto'],['yuriko yamamoto'],['yuriko yamamoto'],['yuriko'],['yuriko yamamoto']
611,What music genre does xavier montsalvatge perform?,['Xavier Montsalvatge'],['xavier montsalvatge'],['xavier montsalvatge'],['x'],['xavier montsalvatge']
612,"Name the artist of the album ""Let it Flow"".",['Let It Flow'],['album'],['Let it Flow'],['Flow'],[]
613,what kind of celestial object is 25669 kristinrose?,['25669 Kristinrose'],['25669 kristinrose'],[],[],['kristinrose']
614,who is known as a voice actor,['voice actor'],['voice actor'],[],[],[]
615,What is an album by  ronnie milsap?,['Ronnie Milsap'],['ronnie milsap'],['ronnie milsap'],[],['ronnie milsap']
616,where did bartolomé blanche die,['Bartolomé Blanche'],['bartolome blanche'],['bartolomé blanche'],[],['bartolomÃ© blanche']
617,what nationality is matt lindstrom,['Matt Lindstrom'],['matt lindstrom'],['matt lindstrom'],[],['matt lindstrom']
618,what is edmund grierson's country of nationality?,['Edmund Grierson'],['edmund grierson'],['edmund grierson'],['edmund grier'],['edmund grierson']
619,what country was the green glove filmed in?,['The Green Glove'],['green glove'],[],[],[]
620,What is the gender of micah lawrence?,['Micah Lawrence'],['micah lawrence'],['micah lawrence'],[],['micah lawrence']
621,What platform was attack of the killer tomatoes released on,['Attack of the Killer Tomatoes'],['attack of the killer tomatoes'],[],[],[]
622,what position is pavel badea,['Pavel Badea'],['pavel badea'],['pavel badea'],[],['pavel badea']
623,what country is campo de ourique in,['Campo de Ourique'],['campo de ourique'],['campo de ourique'],[],['campo de ourique']
624,Where was nicholas crafts's place of birth?,['Nicholas Crafts'],['nicholas crafts'],[],[],['nicholas crafts']
625,what film is  tim burton known for directing,['Tim Burton'],['tim burton'],['tim burton'],[],['tim burton']
626,what is ed alonzo's nationality?,['Ed Alonzo'],['ed alonzo'],['ed alonzo'],[],['ed alonzo']
627,What film was russ meyer a cinematographer for?,['Russ Meyer'],['russ meyer'],['russ meyer'],[],['russ meyer']
628,who directed bheja fry (film),['Bheja Fry'],['bheja fry'],['bheja fry'],[],['bheja fry']
629,in which conflict did frederick benteen participate in,['Frederick Benteen'],['frederick benteen'],['frederick benteen'],[],['frederick benteen']
630,Who produced beloved (film)?,['Beloved'],['beloved film'],[],[],[]
631,Who was born in shimla?,['Shimla'],['shimla'],['shimla'],[],['shimla']
632,which album is pop rock,['pop rock'],"['album', 'pop rock']",[],[],[]
633,Where is lillian evanti from,['Lillian Evanti'],['lillian evanti'],['lillian evanti'],[],['lillian evanti']
634,what kind of film is la commare secca,['La commare secca'],['la commare secca'],['la commare secca'],[],['commare secca']
635,where was cino da pistoia born,['Cino da Pistoia'],['cino da pistoia'],['cino da pistoia'],['c'],['cino da pistoia']
636,"Who produced the film yes, madam","['Yes, Madam']","['yes, madam']",[],[],[]
637,Name a romance novel,['romance novel'],['romance novel'],[],[],[]
638,who was the director of the film temple grandin,['Temple Grandin'],['film temple grandin'],['temple grandin'],[],['temple grandin']
639,is buron fitts male or female,['Buron Fitts'],['buron'],[],[],['buron']
640,Who's a soldier born in altshausen,['Altshausen'],['altshausen'],['altshausen'],['altshausen'],['altshausen']
641,What is the nationality of emilio comte?,['Emilio Comte'],['emilio comte'],['emilio comte'],[],"['emilio', 'te']"
642,what genre of music does catfish keith produce,['Catfish Keith'],['catfish keith'],[],[],['catfish keith']
643,where was the film the angry river filmed in?,['The Angry River'],['the angry river'],[],[],[]
644,what mode is international superstar soccer pro played on?,['International Superstar Soccer Pro'],['international superstar soccer pro'],[],[],[]
645,what football position does yevgeni tarasov play,['Yevgeni Tarasov'],['yevgeni tarasov'],['yevgeni tarasov'],[],['yevgeni tarasov']
646,Which country is the famous jett jackson from,['The Famous Jett Jackson'],['jett jackson'],[],[],['jett jackson']
647,What is matthew karatz's nationality,['Matthew Karatz'],['matthew karatz'],['matthew karatz'],[],['matthew karatz']
648,where did renu saluja die?,['Renu Saluja'],['renu saluja'],['renu saluja'],['re'],['renu saluja']
649,What country was wanted released in?,['Wanted'],['country'],[],[],[]
650,who is the artist on the album overkill (album),['Overkill'],['album overkill'],[],[],[]
651,In what US city was leo nocentelli born?,['Leo Nocentelli'],"['us city', 'leo nocentelli']","['US', 'leo nocentelli']",['US'],"['US', 'leo nocentelli']"
652,What genre of music is mc breed known for?,['MC Breed'],['mc breed'],[],[],['mc breed']
653,What caused the death of martin gabel?,['Martin Gabel'],['martin gabel'],['martin gabel'],[],['martin gabel']
654,what is derek rutherford's occupation?,['Derek Rutherford'],['derek rutherford'],['derek rutherford'],['erford'],['derek rutherford']
655,Name a defender in football,['defender'],['football'],[],[],[]
656,Foo Fighters produce what genre of music?,['Foo Fighters'],['foo fighters'],['Foo Fighters'],['Foo Fighters'],['Foo Fighters']
657,what is the gender of mortimer folchart,['Mortimer Folchart'],['mortimer folchart'],[],[],['mortimer folchart']
658,what film is in the series taxi,['Taxi'],['series taxi'],[],[],[]
659,which language was red angel originally made in,['Red Angel'],['red angel'],[],[],['red angel']
660,in what language is the film shehnai,['Shehnai'],['film shehnai'],[],[],['shehnai']
661,what is a film in the genre silent film,['silent film'],['genre silent film'],[],[],[]
662,What's an album from alien sex fiend,['Alien Sex Fiend'],['alien sex fiend'],[],[],[]
663,What family is grand duke paul alexandrovich of russia a member of?,['Grand Duke Paul Alexandrovich of Russia'],"['russia', 'paul alexandrovich']","['paul alexandrovich', 'russia']","['rov', 'russ']","['paul alexandrovich', 'russia']"
664,which irish novelist was born in london,['London'],"['london', 'irish novelist']","['irish', 'london']",[],"['irish', 'london']"
665,what is garrett hedlund's gender,['Garrett Hedlund'],['garrett hedlund'],['garrett hedlund'],[],['garrett hedlund']
666,which label is camélia jordana signed to,['Camélia Jordana'],['camelia jordana'],['camélia jordana'],['ca'],['camÃ©lia jordana']
667,Name a person born in Antwerp.,['Antwerp'],['antwerp'],['Antwerp'],['Antwerp'],['Antwerp']
668,Who is a progressive rock artist,['progressive rock'],['progressive rock artist'],[],[],[]
669,what kind of music can be found on home for christmas,['Home for Christmas'],['home for christmas'],[],[],[]
670,what is paul delay's nationality,['Paul deLay'],['paul delay'],['paul delay'],[],['paul delay']
671,what is giovanni tuccari's place of death ,['Giovanni Tuccari'],['giovanni tuccari'],['giovanni tuccari'],['g'],['giovanni tuccari']
672,what country is mary lou fallis from,['Mary Lou Fallis'],['mary lou fallis'],['mary lou'],[],['mary lou fallis']
673,Name a drama film by theodore j. pahle.,['Theodore J. Pahle'],['theodore j. pahle'],['theodore j. pahle'],[],['theodore j. pahle.']
674,what genre of music is the album a hard road,['A Hard Road'],['hard road'],[],[],[]
675,What kind of tv show is the rerun show,['The Rerun Show'],"['tv show', 'rerun show']",[],[],[]
676,Name a biographical film.,['biographical film'],['biographical film'],[],[],[]
677,Where was david dunn born,['David Dunn'],['david dunn'],['david dunn'],[],['david dunn']
678,which nation is the film state of the union located in?,['State of the Union'],['state of the union'],[],[],['union']
679,What is the name of dar williams's 2003 album,['Dar Williams'],['dar williams'],['dar williams'],['will'],['dar williams']
680,Name a person born in palermo.,['Palermo'],['palermo'],['palermo'],[],['palermo']
681,where was  moira lynd born,['Moira Lynd'],['moira lynd'],['moira lynd'],[],['moira lynd']
682,what is the name of a forward player,['forward'],['forward player'],[],[],[]
683,what country is afrânio a second level division of,['Afrânio'],['afranio'],[],[],['afrÃ¢nio']
684,What nationality is valeri petrov?,['Valeri Petrov'],['valeri petrov'],['valeri petrov'],[],['valeri petrov']
685,what type of music is where am i going??,['Where Am I Going?'],['music'],[],[],[]
686,which gender is rolf henne,['Rolf Henne'],['rolf henne'],[],[],['rolf henne']
687,Which film is a silent film?,['silent film'],"['film', 'silent film']",[],[],[]
688,what genre is the dark man and others,['The Dark Man and Others'],['dark man and others'],[],[],[]
689,where was mary ann sieghart given birth,['Mary Ann Sieghart'],['mary ann sieghart'],['mary ann sieghart'],[],['mary ann sieghart']
690,what is an album by dozer,['Dozer'],['dozer'],['dozer'],[],['dozer']
691,What is the name of a program created by dick clement,['Dick Clement'],['dick clement'],['dick clement'],[],['dick clement']
692,What was the cause of death of jan mark,['Jan Mark'],['jan mark'],['jan mark'],[],['jan mark']
693,Who is an artist of nu metal?,['nu metal'],['nu metal'],[],[],[]
694,where was margaret way born,['Margaret Way'],['margaret way'],['margaret way'],[],['margaret way']
695,who is one of nefertiti's children,['Nefertiti'],['nefertiti'],['nefertiti'],['neferti'],['nefertiti']
696,What movie did roger corman produce,['Roger Corman'],['roger corman'],['roger corman'],[],['roger corman']
697,what are cities within orange county,['Orange County'],['orange county'],[],[],['orange county']
698,what movie did michael nyman create music for?,['Michael Nyman'],['michael nyman'],['michael nyman'],"['cha', 'n']",['michael nyman']
699,What celestial object is 20856 hamzabari classfied as?,['20856 Hamzabari'],['20856 hamzabari'],[],[],['hamzabari']
700,what is an instrument that urs bühler has played  ,['Urs Bühler'],['urs buhler'],['urs bühler'],[],['urs bÃ¼hler']
701,who wrote the film walk hard: the dewey cox story,['Walk Hard: The Dewey Cox Story'],"['walk hard', 'dewey cox story']",['dewey cox'],[],['dewey cox story']
702,Where in mississippi was nathaniel h. harris born,['Nathaniel H. Harris'],"['mississippi', 'nathaniel h. harris']","['mississippi', 'nathaniel h. harris']",[],"['mississippi', 'nathaniel h. harris']"
703,what is raphael martinho's sex,['Raphael Martinho'],['raphael martinho'],['raphael martinho'],['rap'],['raphael martinho']
704,in which language is sharpe (tv series) spoken,['Sharpe'],['sharpe tv series'],[],[],[]
705,What is the name of a film directed by cecil b. demille,['Cecil B. DeMille'],['cecil b. demille'],['cecil b. demille'],['dem'],['cecil b. demille']
706,Where did frances marion die?,['Frances Marion'],['frances marion'],['frances marion'],[],['frances marion']
707,what country created the trust ,['The Trust'],"['country', 'trust']",[],[],[]
708,Name a shooter game,['shooter game'],['shooter game'],[],[],[]
709,where was the birthplace of nik abdul aziz nik mat,['Nik Abdul Aziz Nik Mat'],['nik abdul aziz nik mat'],['nik abdul aziz nik mat'],[],['nik abdul aziz nik mat']
710,Who is someone that was born in sandefjord?,['Sandefjord'],['sandefjord'],['sandefjord'],['sandef'],['sandefjord']
711,What kind of movie was love and courage,['Love and Courage'],"['movie', 'love and courage']",[],[],[]
712,what nationality is chin-hui tsao?,['Chin-hui Tsao'],['chin-hui tsao'],['chin-hui tsao'],[],['chin-hui tsao']
713,What nation is arthur teele from?,['Arthur Teele'],['arthur teele'],['arthur teele'],['art'],['arthur teele']
714,What kind of music is the oscar peterson plays the jerome kern songbook album?,['Oscar Peterson Plays the Jerome Kern Songbook'],"['jerome kern songbook album', 'oscar peterson']","['oscar peterson', 'jerome kern']",[],"['oscar peterson', 'jerome kern songbook']"
715,which country is dávid kulcsár from,['Dávid Kulcsár'],['david kulcsar'],['dávid kulcsár'],['d'],['dÃ¡vid kulcsÃ¡r']
716,What bridge can be found over the yarra river?,['Yarra River'],['yarra river'],[],[],['yarra']
717,which footballer was born in canton of nidwalden,['Nidwalden'],['nidwalden'],['nidwalden'],['nidwalden'],['nidwalden']
718,"what type of bridge is the richmond bridge, london",['Richmond Bridge'],"['london', 'richmond bridge']","['richmond bridge', 'london']",[],"['richmond bridge', 'london']"
719,what is the main profession of jim huber,['Jim Huber'],['jim huber'],['jim huber'],[],['jim huber']
720,who directed drive a crooked road,['Drive a Crooked Road'],['drive a crooked road'],[],[],[]
721,Which language is the film in love and war in,['In Love and War'],['language'],[],[],[]
722,Name an album by TVXQ.,['TVXQ'],['tvxq'],['TVXQ'],['TVXQ'],['TVXQ']
723,Which episode did david livingston direct?,['David Livingston'],['david livingston'],['david livingston'],[],['david livingston']
724,which war did harley sanford jones participate in,['Harley Sanford Jones'],['harley sanford jones'],['harley sanford jones'],[],['harley sanford jones']
725,"What type of music genre is ""Carrying On""?",['Carrying On'],['music genre'],['On'],['On'],['Carrying On']
726,which city was adrian mcpherson born,['Adrian McPherson'],['adrian mcpherson'],['adrian mcpherson'],['ad'],['adrian mcpherson']
727,in which language is the kavi movie spoken,['Kavi'],['kavi'],[],[],['kavi']
728,which country did boo! come from,['Boo!'],['country'],[],[],[]
729,What is a film that dana stevens wrote?,['Dana Stevens'],['dana stevens'],['dana stevens'],['da'],['dana stevens']
730,which russian city was prince paul of yugoslavia born,['Prince Paul of Yugoslavia'],"['prince paul', 'russian city', 'yugoslavia']","['russian', 'paul', 'yugoslavia']","['ian', 'yug', 'lavia']","['russian', 'paul', 'yugoslavia']"
731,What is the name of a film that vidyasagar (music director) contributed to music to,['Vidyasagar'],['vidyasagar'],['vidyasagar'],['vidyasagar'],['vidyasagar']
732,what is max joseph von pettenkofer's gender?,['Max Joseph von Pettenkofer'],['max joseph von pettenkofer'],['max joseph von pettenkofer'],['pettenkofer'],['max joseph von pettenkofer']
733,who is a jazz musician from the 1930s ,['jazz'],['1930s'],[],[],[]
734,which female band created the album ready to run?,['Ready to Run'],['ready to run'],[],[],[]
735,What was alicia aller's cause of death?,['Alicia Aller'],['alicia aller'],['alicia aller'],[],['alicia aller']
736,what's the name of a man who was born in melbourne,['Melbourne'],['melbourne'],['melbourne'],['melbourne'],['melbourne']
737,what country is yanina zhejmo from,['Yanina Zhejmo'],['yanina zhejmo'],['yanina zhejmo'],[],['yanina zhejmo']
738,Which country does shimako iwai have nationality in,['Shimako Iwai'],['shimako iwai'],['shimako iwai'],['shima'],['shimako iwai']
739,"Who is someone born in kewanee, illinois?",['Kewanee'],"['illinois', 'kewanee']","['kewanee', 'illinois']",[],"['kewanee', 'illinois']"
740,what group of people live in humayra abedin,['Humayra Abedin'],['humayra abedin'],['humayra abedin'],[],['humayra abedin']
741,What is ogedayspace's gender?,['Ogeday'],['ogedayspace'],[],['og'],['ogedayspace']
742,what position does martin abena have in soccer?,['Martin Abena'],['martin abena'],['martin abena'],[],['martin abena']
743,what city was joe burns (american football) born,['Joe Burns'],"['joe burns', 'american football']","['joe burns', 'american']",[],"['joe burns', 'american']"
744,what sex is david brazier,['David Brazier'],['david brazier'],['david brazier'],[],['david brazier']
745,what country was the devil and daniel webster filmed in ,['The Devil and Daniel Webster'],"['devil and daniel webster', 'country']",['daniel webster'],[],"['devil', 'daniel webster']"
746,what kind of album is rising force,['Rising Force'],['force'],[],[],['rising force']
747,Name a pop music artist. ,['pop music'],['pop music artist'],[],[],[]
748,what film did osamu tezuka write?,['Osamu Tezuka'],['osamu tezuka'],['osamu tezuka'],['osa'],['osamu tezuka']
749,is stefán logi magnússon male or female,['Stefán Logi Magnússon'],['stefan logi magnusson'],['stefán logi magnússon'],[],['stefÃ¡n logi magnÃºsson']
750,Which village is in arenac county?,['Arenac County'],['arenac county'],['arenac'],[],['arenac']
751,what is (10603) 1996 uf4,['(10603) 1996 UF4'],"['10603', '1996 uf4']",[],[],[]
752,who was born in michigan,['Michigan'],['michigan'],['michigan'],[],['michigan']
753,which lloyd bacon movie qualifies as a musical film,['musical film'],['lloyd bacon movie'],[],[],['lloyd bacon']
754,Is su tong female or male?,['Su Tong'],['su tong female or male'],['su'],[],['su tong']
755,is ten pin alley single-player or multiplayer,['Ten Pin Alley'],['ten pin alley single-player or multiplayer'],[],[],[]
756,What is edwin r. murray's ethnicity?,['Edwin R. Murray'],['edwin r. murray'],['edwin r. murray'],[],['edwin r. murray']
757,which movie was produced by andrew scheinman,['Andrew Scheinman'],['andrew scheinman'],['andrew scheinman'],[],['andrew scheinman']
758,who is the founder of gap inc.?,['Gap Inc.'],['gap inc.'],['gap inc.'],[],['gap inc']
759,where was nolan baumgartner born at?,['Nolan Baumgartner'],['nolan baumgartner'],['nolan baumgartner'],[],['nolan baumgartner']
760,What gender is the leslie thompkins,['Leslie Thompkins'],['leslie thompkins'],['leslie thompkins'],['les'],['leslie thompkins']
761,what country is dallas roberts originally from,['Dallas Roberts'],['dallas roberts'],['dallas roberts'],[],['dallas roberts']
762,What is the name of a person who is an architect,['architect'],"['person', 'architect']",[],[],[]
763,what is jesse wharton's nationality?,['Jesse Wharton'],['jesse wharton'],['jesse wharton'],[],['jesse wharton']
764,what war was  frederick j. karch apart of,['Frederick J. Karch'],['frederick j. karch'],['frederick j. karch'],[],['frederick j. karch']
765,What is fauziah latiff's nationality?,['Fauziah Latiff'],['fauziah latiff'],['fauziah latiff'],[],['fauziah latiff']
766,in which movie was ken hughes the music director,['Ken Hughes'],['ken hughes'],['ken hughes'],[],['ken hughes']
767,what city is in strafford county,['Strafford County'],['strafford county'],['strafford'],[],['strafford county']
768,What position does lamar thomas play,['Lamar Thomas'],['lamar thomas'],['lamar thomas'],['la'],['lamar thomas']
769,what defensive position does chris hussey play,['Chris Hussey'],['chris hussey'],['chris hussey'],[],['chris hussey']
770,who produced hands up!,['Hands Up!'],['hands up'],[],[],[]
771,"who is the screenplay writer for merry christmas, mr. lawrence","['Merry Christmas, Mr. Lawrence']","['merry christmas, mr. lawrence']","['merry christmas', 'lawrence']",[],"['merry christmas', 'lawrence']"
772,What is the sex of paul ekins,['Paul Ekins'],['paul ekins'],['paul ekins'],[],['paul ekins']
773,Where was hamish bond born?,['Hamish Bond'],['hamish bond'],['hamish bond'],[],['hamish bond']
774,what was billy walton's football position?,['Billy Walton'],['billy walton'],['billy walton'],[],['billy walton']
775,Which professional footballer was born in liverpool?,['Liverpool'],['liverpool'],['liverpool'],[],['liverpool']
776,what gender is meatwad,['Meatwad'],['gender'],[],[],[]
777,where was the death place of dan gerrity,['Dan Gerrity'],['dan gerrity'],['dan gerrity'],[],['dan gerrity']
778,what film was mervyn leroy the director of,['Mervyn LeRoy'],['mervyn leroy'],['mervyn leroy'],"['me', 'vyn le']",['mervyn leroy']
779,Who was a famous french writer born in lille?,['Lille'],"['famous french writer', 'lille']","['french', 'lille']",[],"['french', 'lille']"
