,question,entities,MuHeQA_NER,MuHeQA_PoS,MuHeQA_NER+PoS,FLERT,BERT,RoBERTA,MuHeQA_FLERT
830,which movie was produced by andrew scheinman,['Andrew Scheinman'],['andrew scheinman'],"['movie', 'andrew scheinman']",['andrew scheinman'],['andrew scheinman'],[],['andrew scheinman'],['andrew scheinman']
831,who is the founder of gap inc.?,['Gap Inc.'],['gap inc'],['gap inc.'],['gap inc.'],['gap inc.'],[],['gap inc'],['gap inc.']
832,where was nolan baumgartner born at?,['Nolan Baumgartner'],['nolan baumgartner'],['nolan baumgartner'],['nolan baumgartner'],['nolan baumgartner'],[],['nolan baumgartner'],['nolan baumgartner']
833,What gender is the leslie thompkins,['Leslie Thompkins'],['leslie thompkins'],"['gender', 'leslie thompkins']",['leslie thompkins'],['leslie thompkins'],['les'],['leslie thompkins'],['leslie thompkins']
834,what country is dallas roberts originally from,['Dallas Roberts'],['dallas roberts'],"['country', 'dallas roberts']",['dallas roberts'],['dallas roberts'],[],['dallas roberts'],['dallas roberts']
835,What is the name of a person who is an architect,['architect'],[],"['person', 'architect']","['person', 'architect']",[],[],[],"['person', 'architect']"
836,what is jesse wharton's nationality?,['Jesse Wharton'],['jesse wharton'],"['jesse wharton', 'nationality']",['jesse wharton'],['jesse wharton'],[],['jesse wharton'],['jesse wharton']
837,what war was  frederick j. karch apart of,['Frederick J. Karch'],['frederick j. karch'],"['war', 'frederick j. karch']",['frederick j. karch'],['frederick j. karch'],[],['frederick j. karch'],['frederick j. karch']
838,What is fauziah latiff's nationality?,['Fauziah Latiff'],['fauziah latiff'],"['fauziah latiff', 'nationality']",['fauziah latiff'],['fauziah latiff'],[],['fauziah latiff'],['fauziah latiff']
839,in which movie was ken hughes the music director,['Ken Hughes'],['ken hughes'],"['movie', 'ken', 'music director']",['ken hughes'],['ken hughes'],[],['ken hughes'],['ken hughes']
840,what city is in strafford county,['Strafford County'],['strafford'],"['city', 'strafford county']",['strafford county'],['strafford'],[],['strafford county'],['strafford county']
841,What position does lamar thomas play,['Lamar Thomas'],['lamar thomas'],"['position', 'lamar thomas']",['lamar thomas'],['lamar thomas'],['la'],['lamar thomas'],['lamar thomas']
842,what defensive position does chris hussey play,['Chris Hussey'],['chris hussey'],"['defensive position', 'chris hussey']",['chris hussey'],['chris hussey'],[],['chris hussey'],['chris hussey']
843,Which war did William J. Obrien fight in?,"[""William J. O'Brien""]",['william j. obrien'],"['war', 'William J. Obrien']",['william j. obrien'],['William J. Obrien'],['William J. Obrien'],['William J. Obrien'],['William J. Obrien']
844,who directed the film the young and prodigious spivet,['The Young and Prodigious T. S. Spivet'],['sp'],"['film', 'young and prodigious spivet']",['young and prodigious spivet'],[],[],['spivet'],"['film', 'young and prodigious spivet']"
845,who produced hands up!,['Hands Up!'],['hands up'],['hands'],['hands up'],[],[],[],['hands']
846,"who is the screenplay writer for merry christmas, mr. lawrence","['Merry Christmas, Mr. Lawrence']","['merry christmas, mr. lawrence']","['merry christmas', 'mr. lawrence']","['merry christmas, mr. lawrence']","['merry christmas', 'lawrence']",[],"['merry christmas', 'lawrence']","['mr. lawrence', 'merry christmas']"
847,What is the sex of paul ekins,['Paul Ekins'],['paul ekins'],['paul ekins'],['paul ekins'],['paul ekins'],[],['paul ekins'],['paul ekins']
848,Where was hamish bond born?,['Hamish Bond'],['hamish bond'],['hamish bond'],['hamish bond'],['hamish bond'],[],['hamish bond'],['hamish bond']
849,what was billy walton's football position?,['Billy Walton'],['billy walton'],"['billy walton', 'football position']",['billy walton'],['billy walton'],[],['billy walton'],['billy walton']
850,What production company produced?,['Fat Chance'],[],['production company'],['production company'],[],[],[],['production company']
851,Which professional footballer was born in liverpool?,['Liverpool'],['liverpool'],"['professional footballer', 'liverpool']",['liverpool'],['liverpool'],[],['liverpool'],['liverpool']
852,what gender is meatwad,['Meatwad'],[],['gender'],['gender'],[],[],[],['gender']
853,where was the death place of dan gerrity,['Dan Gerrity'],['dan gerrity'],['dan gerrity'],['dan gerrity'],['dan gerrity'],[],['dan gerrity'],['dan gerrity']
854,what film was mervyn leroy the director of,['Mervyn LeRoy'],['mervyn leroy'],"['film', 'mervyn leroy']",['mervyn leroy'],['mervyn leroy'],"['me', 'vyn le']",['mervyn leroy'],['mervyn leroy']
855,Who was a famous french writer born in lille?,['Lille'],"['french', 'lille']","['famous french writer', 'lille']","['famous french writer', 'lille']","['french', 'lille']",[],"['french', 'lille']","['famous french writer', 'lille']"
856,what type of object is 25049 christofnorn,['25049 Christofnorn'],['christofnor'],"['object', '25049 christofnorn']",['25049 christofnorn'],[],[],['christofnorn'],"['object', '25049 christofnorn']"
857,What country created the film the monastery of sendomir,['The Monastery of Sendomir'],"['monastery', 'sendomir']","['country', 'film', 'sendomir']","['sendomir', 'monastery']",['sendomir'],[],['sendomir'],['sendomir']
858,what is the gender of cordelia chase,['Cordelia Chase'],['cordelia chase'],['cordelia chase'],['cordelia chase'],[],[],['cordelia chase'],['cordelia chase']
859,what is gaby dunn's in the news industry?,['Gaby Dunn'],['gaby dunn'],"['gaby dunn', 'news industry']",['gaby dunn'],[],[],['gaby dunn'],"['gaby dunn', 'news industry']"
860,Where was lars krogh gerson born?,['Lars Krogh Gerson'],['lars krogh gerson'],['lars krogh gerson'],['lars krogh gerson'],['lars krogh gerson'],[],['lars krogh gerson'],['lars krogh gerson']
861,What country made the film dahmer vs. gacy,['Dahmer Vs. Gacy'],['dahmer vs. gacy'],"['country', 'film']",['dahmer vs. gacy'],['dahmer vs. gacy'],[],['dahmer vs. gacy'],['dahmer vs. gacy']
862,What label is hed pe signed to,['Hed PE'],['hed pe'],['label'],['hed pe'],[],[],['hed pe'],['label']
863,what language was gods gift to women in?,"[""God's Gift to Women""]",[],['language'],['language'],[],[],[],['language']
864,Which netflix genre does 21 (2008 film) fall under,['21'],['netflix'],"['netflix genre', '21', '2008 film']",['netflix genre'],[],[],"['netflix', '21']","['netflix genre', '21', '2008 film']"
865,why did bugs henderson die,['Bugs Henderson'],['bugs henderson'],['bugs henderson'],['bugs henderson'],['bugs henderson'],[],['bugs henderson'],['bugs henderson']
866,who wrote the film faithless,['Faithless'],['faithless'],['film faithless'],['film faithless'],[],[],['faithless'],['film faithless']
867,what is the gender of bradley pierce,['Bradley Pierce'],['bradley pierce'],['bradley pierce'],['bradley pierce'],['bradley pierce'],[],['bradley pierce'],['bradley pierce']
868,What film genre is twilight considered to be?,['Twilight'],['twilight'],['film genre'],['twilight'],[],[],[],['film genre']
869,where city in minnesota was catharine mackinnon  born,['Catharine MacKinnon'],"['minnesota', 'catharine mackinnon']","['minnesota', 'catharine mackinnon']","['catharine mackinnon', 'minnesota']","['minnesota', 'catharine mackinnon']",[],"['minnesota', 'catharine mackinnon']","['catharine mackinnon', 'minnesota']"
870,where did the show all about eve orginate from,['All About Eve'],['all about eve'],"['show', 'eve']",['all about eve'],[],[],['eve orginate'],"['show', 'eve']"
871,Who is Erwin Planck's parent?,['Erwin Planck'],['erwin planck'],"['Erwin Planck', 'parent']",['erwin planck'],['Erwin Planck'],['Erwin Planck'],['Erwin Planck'],['Erwin Planck']
872,What is gy waldron 's profession?,['Gy Waldron'],['gy waldron'],"['gy waldron', 'profession']",['gy waldron'],[],[],['gy waldron'],"['gy waldron', 'profession']"
873,What was alexander hamilton's gender?,['Alexander Hamilton'],['alexander hamilton'],"['alexander hamilton', 'gender']",['alexander hamilton'],['alexander hamilton'],[],['alexander hamilton'],['alexander hamilton']
874,who did the music for the film  the stratton story,['The Stratton Story'],['the stratton story'],"['film', 'stratton story']",['the stratton story'],[],[],['the stratton story'],"['film', 'stratton story']"
875,what film was david grisman the music contributor,['David Grisman'],['david grisman'],"['film', 'david grisman', 'music contributor']",['david grisman'],['david grisman'],[],['david grisman'],['david grisman']
876,who was the first NSW female Minister of Education died from cancer,['cancer'],['nsw'],"['Education', 'cancer']",['nsw'],['NSW'],"['NSW', 'Education']",['NSW'],['NSW']
877,Who is a man who plays the position defender in soccer?,['defender'],[],"['man', 'soccer']","['man', 'soccer']",[],[],[],"['man', 'soccer']"
878,who was born in gaza city,['Gaza City'],['gaza city'],['gaza city'],['gaza city'],[],[],['gaza'],['gaza city']
879,What artist released the album small graces,['Small Graces'],['small graces'],"['artist', 'album small graces']",['album small graces'],[],[],[],"['artist', 'album small graces']"
880,who was born in cowgate?,['Cowgate'],['cowgate'],['cowgate'],['cowgate'],[],[],['cowgate'],['cowgate']
881,"which war did edward a. devore, jr. fight in","['Edward A. DeVore, Jr.']","['edward a. devore, jr']","['war', 'edward a. devore', 'jr.']","['edward a. devore, jr']",['edward a. devore'],[],"['edward a. devore', '.']",['edward a. devore']
882,What is the gender of walter gerth?,['Walter Gerth'],['walter gerth'],['walter gerth'],['walter gerth'],['walter gerth'],[],['walter gerth'],['walter gerth']
883,what kind of music does doomtree make?,['Doomtree'],['doomtree'],"['music', 'doomtree']",['doomtree'],['doomtree'],[],['doomtree'],['doomtree']
884,where did harold hardman pass away,['Harold Hardman'],['harold hardman'],['harold hardman'],['harold hardman'],['harold hardman'],[],['harold hardman'],['harold hardman']
885,who produced the movie the tourist,['The Tourist'],['the tourist'],"['movie', 'tourist']",['the tourist'],[],[],['the tourist'],"['movie', 'tourist']"
886,What position does denis shcherbak play,['Denis Shcherbak'],['denis shcherbak'],['position'],['denis shcherbak'],['denis shcherbak'],['den'],['denis shcherbak'],['denis shcherbak']
887,which country is ido mosseri from ,['Ido Mosseri'],['ido mosseri'],['country'],['ido mosseri'],['ido mosseri'],[],['ido mosseri'],['ido mosseri']
888,Where is ghulam azam from?,['Ghulam Azam'],['ghulam azam'],[],['ghulam azam'],['ghulam azam'],['g'],['ghulam azam'],['ghulam azam']
889,What is hooshang amirahmadi's gender?,['Hooshang Amirahmadi'],['hooshang amirahmadi'],"['hooshang amirahmadi', 'gender']",['hooshang amirahmadi'],['hooshang amirahmadi'],['hm'],['hooshang amirahmadi'],['hooshang amirahmadi']
890,which major city was john william finn born in,['John William Finn'],['john william finn'],"['major city', 'john william finn']",['john william finn'],['john william finn'],[],['john william finn'],['john william finn']
891,who is the producer of straight shooter ,['Straight Shooter'],['straight shooter'],['straight shooter'],['straight shooter'],[],[],[],['straight shooter']
892,which label is jonathan smith signed to,['Lil Jon'],['jonathan smith'],"['label', 'jonathan smith']",['jonathan smith'],['jonathan smith'],[],['jonathan smith'],['jonathan smith']
893,what music is on the film amazing grace?,['Amazing Grace'],['amazing grace'],"['music', 'film amazing grace']",['film amazing grace'],[],[],['amazing grace'],"['music', 'film amazing grace']"
894,Where was gianna dangelo born,"[""Gianna D'Angelo""]",['gianna dangelo'],['gianna dangelo'],['gianna dangelo'],['gianna dangelo'],"['gian', 'da']",['gianna dangelo'],['gianna dangelo']
895,What's an album from pete seeger,['Pete Seeger'],['pete seeger'],['pete seeger'],['pete seeger'],['pete seeger'],[],['pete seeger'],['pete seeger']
896,Where was summer glau's place of birth?,['Summer Glau'],['summer glau'],"['summer glau', 'birth']",['summer glau'],[],[],['summer glau'],"['summer glau', 'birth']"
897,who wrote the film the champ,['The Champ'],['the champ'],"['film', 'champ']",['the champ'],[],[],['the champ'],"['film', 'champ']"
898,What is the country of origin of lightfields,['Lightfields'],[],['lightfields'],['lightfields'],[],[],['lightfields'],['lightfields']
899,What county contains presque isle,['Presque Isle'],['presque isle'],"['county', 'presque isle']",['presque isle'],[],[],['presque isle'],"['county', 'presque isle']"
900,what is josé luis grant's nationality ,['José Luis Grant'],['jose luis grant'],"['josé', 'grant', 'nationality']",['jose luis grant'],['josé luis'],[],['josÃ© luis grant'],['josé luis']
901,which artist released the album secret,['Secret'],[],"['artist', 'album secret']","['artist', 'album secret']",[],[],[],"['artist', 'album secret']"
902,What's a game published by banpresto,['Banpresto'],"[""what's"", 'banpresto']","['game', 'banpresto']","[""what's"", 'banpresto']",['banpresto'],[],['banpresto'],['banpresto']
903,Who was a football forward,['forward'],[],['football forward'],['football forward'],[],[],[],['football forward']
904,What soccer position does yusuke kawakita play,['Yusuke Kawakita'],['yusuke kawakita'],['soccer position'],['yusuke kawakita'],['yusuke kawakita'],[],['yusuke kawakita'],['yusuke kawakita']
905,where was david quinn born,['David Quinn'],['david quinn'],['david quinn'],['david quinn'],['david quinn'],[],['david quinn'],['david quinn']
906,in which country was the the incredible 2-headed transplant movie produce,['The Incredible 2-Headed Transplant'],[],"['country', 'incredible 2-headed transplant movie produce']","['country', 'incredible 2-headed transplant movie produce']",[],[],[],"['country', 'incredible 2-headed transplant movie produce']"
907,what are some names of male characters in the street fighter series?,['male'],['street fighter'],['street fighter series'],['street fighter series'],[],[],[],['street fighter series']
908,what is a type of musical film?,['musical film'],[],['musical film'],['musical film'],[],[],[],['musical film']
909,Who are artists of country music?,['country music'],[],['country music'],['country music'],[],[],[],['country music']
910,What nation is ferdinand columbus from?,['Ferdinand Columbus'],['ferdinand columbus'],['nation'],['ferdinand columbus'],['ferdinand columbus'],[],['ferdinand columbus'],['ferdinand columbus']
911,What is maarty leunen's position,['Maarty Leunen'],['maarty leunen'],"['maarty leunen', 'position']",['maarty leunen'],['maarty leunen'],[],['maarty leunen'],['maarty leunen']
912,what is a film produced by paul brooks?,['Paul Brooks'],['paul brooks'],"['film', 'paul brooks']",['paul brooks'],['paul brooks'],[],['paul brooks'],['paul brooks']
913,which country contains lake jasper,['Lake Jasper'],['jasper'],"['country', 'lake jasper']",['lake jasper'],['jasper'],[],['lake jasper'],['lake jasper']
914,which political party has arab nationalism as its political ideology,['Arab nationalism'],['arab'],"['political party', 'political ideology']",['arab'],[],[],['arab'],"['political party', 'political ideology']"
915,what country is the amazonas in?,['Amazonas'],['amazonas'],['country'],['amazonas'],[],[],['amazonas'],['country']
916,which retelling of a classic story was written by langston hughes?,['Langston Hughes'],['langston hughes'],"['classic story', 'langston hughes']",['langston hughes'],['langston hughes'],[],['langston hughes'],['langston hughes']
917,what is a work by ivan okhlobystin,['Ivan Okhlobystin'],['ivan okhlobystin'],['ivan okhlobystin'],['ivan okhlobystin'],['ivan okhlobystin'],"['i', 'ok']",['ivan okhlobystin'],['ivan okhlobystin']
918,What is Tamara Rhodes gender?,['Tamara Rhodes'],['tamara rhodes'],['Tamara Rhodes gender'],['tamara rhodes gender'],['Tamara Rhodes'],['Tamara Rhodes'],['Tamara Rhodes'],['Tamara Rhodes']
919,who is the recording artist of the album let it shine?,['Let It Shine'],['let it shine'],['album'],['let it shine'],['let it shine'],[],[],['let it shine']
920,what is francisco tárrega's profession,['Francisco Tárrega'],['francisco tarrega'],"['tárrega', 'profession']",['francisco tarrega'],['francisco tárrega'],[],['francisco tÃ¡rrega'],['francisco tárrega']
921,where was abdollah nouri born,['Abdollah Nouri'],['abdollah nouri'],['abdollah nouri'],['abdollah nouri'],['abdollah nouri'],[],['abdollah nouri'],['abdollah nouri']
922,What language is blowing wild in?,['Blowing Wild'],[],['language'],['language'],[],[],[],['language']
923,What's an album from howie dorough,['Howie Dorough'],['howie dorough'],['howie dorough'],['howie dorough'],['howie dorough'],[],['howie dorough'],['howie dorough']
924,Where was orest miller born?,['Orest Miller'],['orest miller'],['orest miller'],['orest miller'],['orest miller'],[],['orest miller'],['orest miller']
925,Name a single-player game,['single-player video game'],[],['single-player game'],['single-player game'],[],[],[],['single-player game']
926,Which country was the film the butcher shot in,['The Butcher'],['butcher'],"['country', 'film', 'butcher']",['butcher'],[],[],[],"['country', 'film', 'butcher']"
927,which city was abraham haskel taub born,['Abraham H. Taub'],['abraham haskel taub'],['city'],['abraham haskel taub'],['abraham haskel taub'],[],['abraham haskel taub'],['abraham haskel taub']
928,what is an example of an action role-playing game,['action role-playing game'],[],['action role-playing game'],['action role-playing game'],[],[],[],['action role-playing game']
929,Where is berry kroeger from,['Berry Kroeger'],['berry kroeger'],[],['berry kroeger'],[],[],['berry kroeger'],[]
930,What is the originating country for the film thiruppu munai?,['Thiruppu Munai'],['thiruppu munai'],['film thiruppu munai'],['film thiruppu munai'],['thiruppu munai'],[],['thiruppu munai'],['film thiruppu munai']
931,what nationality is tomás mac giolla,['Tomás Mac Giolla'],['tomas mac giolla'],"['nationality', 'tomás']",['tomas mac giolla'],['tomás mac giolla'],['to'],['tomÃ¡s mac giolla'],['tomás mac giolla']
932,What is rudy Árias' nationality?,['Rudy Árias'],['rudy arias'],"[""rudy Árias' nationality""]","[""rudy arias' nationality""]","[""rudy Árias'""]",['Á'],['rudy Ã ģrias'],"[""rudy Árias'""]"
933,what genre is the album the papercut chronicles,['The Papercut Chronicles'],['the papercut chronicles'],"['genre', 'album', 'papercut']",['the papercut chronicles'],[],[],['papercut'],"['genre', 'album', 'papercut']"
934,What is john corrill's nationality?,['John Corrill'],['john corrill'],"['john corrill', 'nationality']",['john corrill'],['john corrill'],[],['john corrill'],['john corrill']
935,Who was born in Cuckfield?,['Cuckfield'],['cuckfield'],['Cuckfield'],['cuckfield'],['Cuckfield'],['Cuckfield'],['Cuckfield'],['Cuckfield']
936,what caused death of corrado mantoni,['Corrado Mantoni'],['corrado mantoni'],['corrado mantoni'],['corrado mantoni'],['corrado mantoni'],[],['corrado mantoni'],['corrado mantoni']
937,what American rock and pop singer was born in chicago,['Chicago'],"['american', 'chicago']","['American rock and pop singer', 'chicago']","['american rock and pop singer', 'chicago']","['American', 'chicago']",['American'],"['American', 'chicago']","['American', 'chicago']"
938,Where in poland did marian lalewicz die,['Marian Lalewicz'],"['poland', 'marian lalewicz']","['poland', 'marian lalewicz']","['poland', 'marian lalewicz']","['poland', 'marian lalewicz']",['lew'],"['poland', 'marian lalewicz']","['poland', 'marian lalewicz']"
939,what war was robert lawrence leopold involved in,['Robert Lawrence Leopold'],['robert lawrence leopold'],"['war', 'robert lawrence leopold']",['robert lawrence leopold'],['robert lawrence leopold'],[],['robert lawrence leopold'],['robert lawrence leopold']
940,What is joey osbourne's gender?,['Joey Osbourne'],['joey osbourne'],"['joey osbourne', 'gender']",['joey osbourne'],['joey osbourne'],['o'],['joey osbourne'],['joey osbourne']
941,What is the ideology behind the german free-minded party?,['German Free-minded Party'],['german'],['german free-minded party'],['german free-minded party'],['german'],[],['german'],['german free-minded party']
942,which country is souli from,['Souli'],['souli'],['country'],['souli'],[],[],['souli'],['country']
943,What type of gameplay mode is maelstrom?,['Maelstrom'],[],"['gameplay mode', 'maelstrom']","['gameplay mode', 'maelstrom']",[],[],[],"['gameplay mode', 'maelstrom']"
944,Where are the ashmore and cartier islands located?,['Ashmore and Cartier Islands'],"['ashmore', 'cartier islands']",['ashmore and cartier islands'],['ashmore and cartier islands'],[],[],"['ashmore', 'cartier']",['ashmore and cartier islands']
945,what was robert mckinley born?,['Robert McKinley'],['robert mckinley'],['robert mckinley'],['robert mckinley'],['robert mckinley'],[],['robert mckinley'],['robert mckinley']
946,what player plays as a goalkeeper in football,['goalkeeper'],[],"['player', 'football']","['player', 'football']",[],[],[],"['player', 'football']"
947,what kind of movie is the strangers,['The Strangers'],['strangers'],"['movie', 'strangers']",['strangers'],[],[],['the strangers'],"['movie', 'strangers']"
948,what is the gender of borko milenković,['Borko Milenković'],['borko milenkovic'],['borko milenković'],['borko milenkovic'],['borko milenković'],['b'],['borko milenkoviÄĩ'],['borko milenković']
949,What is kelly slater's gender.,['Kelly Slater'],['kelly slater'],"['kelly slater', 'gender']",['kelly slater'],['kelly slater'],[],['kelly slater'],['kelly slater']
950,What's a film produced by prabhu,['Prabhu Ganesan'],['prabhu'],"['film', 'prabhu']",['prabhu'],[],['p'],['prabhu'],"['film', 'prabhu']"
951,is walter hampden from the united states or canada,['Walter Hampden'],"['walter hampden', 'united states', 'canada']",['united states or canada'],"['united states or canada', 'walter hampden']","['united states', 'canada']",[],"['walter hampden', 'united states', 'canada']",['united states or canada']
952,The power rangers dino thunder game was published by what American company?,['Power Rangers Dino Thunder'],"['power rangers dino thunder', 'american']","['power rangers dino thunder game', 'American company']","['power rangers dino thunder game', 'american company']",['American'],['American'],"['power rangers dino thunder', 'American']",['American']
953,"What is the name of a city within cook county, illinois",['Cook County'],"['cook county', 'illinois']","['cook county', 'illinois']","['illinois', 'cook county']","['cook county', 'illinois']",[],"['cook county', 'illinois']","['illinois', 'cook county']"
954,what position does bonnie hollingsworth play?,['Bonnie Hollingsworth'],['bonnie hollingsworth'],"['position', 'bonnie hollingsworth']",['bonnie hollingsworth'],['bonnie hollingsworth'],['ho'],['bonnie hollingsworth'],['bonnie hollingsworth']
955,who directed tower of london (1939 film),['Tower of London'],['tower of london'],"['london', '1939 film']",['tower of london'],['tower of london'],[],['tower of london'],['tower of london']
956,what country is chikara sakaguchi from,['Chikara Sakaguchi'],['chikara sakaguchi'],['country'],['chikara sakaguchi'],['chikara sakaguchi'],[],['chikara sakaguchi'],['chikara sakaguchi']
957,what position does jerametrius butler play?,['Jerametrius Butler'],['jerametrius butler'],"['position', 'jerametrius butler']",['jerametrius butler'],['jerametrius butler'],[],['jerametrius butler'],['jerametrius butler']
958,who was born in hamburg,['Hamburg'],['hamburg'],['hamburg'],['hamburg'],['hamburg'],['hamburg'],['hamburg'],['hamburg']
959,what label is dice raw signed to ,['Dice Raw'],['dice raw'],"['label', 'dice raw']",['dice raw'],[],[],[],"['label', 'dice raw']"
960,what nationality is jerry zirsanga ,['Jerry Zirsanga'],['jerry zirsanga'],"['nationality', 'jerry zirsanga']",['jerry zirsanga'],['jerry zirsanga'],[],['jerry zirsanga'],['jerry zirsanga']
961,where is the las colonias department in ,['Las Colonias Department'],['las colonias'],[],['las colonias'],[],[],['las colonias'],[]
962,what city did robert bennett die,['Robert Bennett'],['robert bennett'],"['city', 'robert bennett']",['robert bennett'],['robert bennett'],[],['robert bennett'],['robert bennett']
963,Which genre is disneys villains revenge videogame,"[""Disney's Villains' Revenge""]","['disneys', 'revenge']","['genre', 'disneys villains revenge videogame']",['disneys villains revenge videogame'],['disneys'],[],['disneys villains'],['disneys villains revenge videogame']
964,what country is georgi yumatov a citizen of,['Georgi Yumatov'],['georgi yumatov'],"['country', 'georgi yumatov']",['georgi yumatov'],['georgi yumatov'],[],['georgi yumatov'],['georgi yumatov']
965,which asian language is the tv series my beloved spoken in?,['My Beloved'],"['asian', 'my beloved']","['asian language', 'tv series']","['asian language', 'my beloved']",[],[],['asian'],"['asian language', 'tv series']"
966,what city did john e. smith die,['John E. Smith'],['john e. smith'],"['city', 'john e. smith']",['john e. smith'],['john e. smith'],[],['john e. smith'],['john e. smith']
967,Who was born in london?,['London'],['london'],['london'],['london'],['london'],['lo'],['london'],['london']
968,what kind of music does warbringer do?,['Warbringer'],['warbringer'],"['music', 'warbringer']",['warbringer'],[],[],['warbringer'],"['music', 'warbringer']"
969,alexandre bilodeau is a member of which gender?,['Alexandre Bilodeau'],"['alexandre bilodeau', 'which gender']","['alexandre bilodeau', 'gender']","['alexandre bilodeau', 'which gender']",['alexandre bilodeau'],[],['alexandre bilodeau'],['alexandre bilodeau']
970,What is madeleine martin's profession?,['Madeleine Martin'],['madeleine martin'],"['madeleine martin', 'profession']",['madeleine martin'],['madeleine martin'],[],['madeleine martin'],['madeleine martin']
971,what is shaikh ayaz's gender?,['Shaikh Ayaz'],['shaikh ayaz'],"['shaikh ayaz', 'gender']",['shaikh ayaz'],[],[],['ikh ayaz'],"['shaikh ayaz', 'gender']"
972,What's an album from nick lowe,['Nick Lowe'],['nick lowe'],['nick lowe'],['nick lowe'],['nick lowe'],[],['nick lowe'],['nick lowe']
973,Which artist recorded the album portrait of sinatra?,['Portrait of Sinatra: Columbia Classics'],['portrait of sinatra'],"['artist', 'sinatra']",['portrait of sinatra'],[],[],['sinatra'],"['artist', 'sinatra']"
974,What is the country of origin of haven,['Haven'],['haven'],['haven'],['haven'],[],[],[],['haven']
975,who is xeneizes by,['Xeneizes'],[],[],[],[],[],['xene'],[]
976,what soccer position does ian dobson play,['Ian Dobson'],['ian dobson'],"['soccer position', 'ian dobson']",['ian dobson'],['ian dobson'],[],['ian dobson'],['ian dobson']
977,which gender is rayver cruz,['Rayver Cruz'],['rayver cruz'],"['gender', 'rayver cruz']",['rayver cruz'],['rayver cruz'],[],['rayver cruz'],['rayver cruz']
978,What is the country of origin that the darling buds of may came from,['The Darling Buds of May'],[],['origin'],['origin'],[],[],['may'],['origin']
979,what county is williamsburg located in,['Williamsburg'],['williamsburg'],"['county', 'williamsburg']",['williamsburg'],['williamsburg'],['williamsburg'],['williamsburg'],['williamsburg']
980,what is the language used for the show hex ,['Hex'],['he'],"['language', 'show hex']",['show hex'],[],[],['hex'],"['language', 'show hex']"
981,What's a movie that leslie s. hiscott has directed,['Leslie S. Hiscott'],['leslie s. hiscott'],"['movie', 'leslie s. hiscott']",['leslie s. hiscott'],['leslie s. hiscott'],['his'],['leslie s. hiscott'],['leslie s. hiscott']
982,what types of movie is fatty's flirtation,"[""Fatty's Flirtation""]",['fatty'],"['movie', 'fatty flirtation']",['fatty flirtation'],['fatty'],[],[],['fatty flirtation']
983,what is an episode of the tv program the twilight zone,['The Twilight Zone'],['the twilight zone'],"['tv program', 'twilight zone']",['the twilight zone'],['the twilight zone'],[],['the twilight zone'],['the twilight zone']
984,who produced heat ,['Heat'],[],['heat'],['heat'],[],[],[],['heat']
985,what kind of music is joe satriani affiliated with?,['Joe Satriani'],['joe satriani'],"['music', 'joe satriani']",['joe satriani'],['joe satriani'],[],['joe satriani'],['joe satriani']
986,where did alec james  die again,['Alec James'],['alec james'],['alec james'],['alec james'],['alec james'],[],['alec james'],['alec james']
987,who was born in lynwood,['Lynwood'],['lynwood'],['lynwood'],['lynwood'],['lynwood'],['lyn'],['lynwood'],['lynwood']
988,what is the category of 10806 mexico?,['10806 Mexico'],['mexico'],['10806 mexico'],['10806 mexico'],['mexico'],[],['10806 mexico'],['10806 mexico']
989,who is the recording artist for abandoned garden?,['Abandoned Garden'],['abandoned garden'],['garden'],['abandoned garden'],[],[],[],['garden']
990,Who authored first on the moon,['First on the Moon'],['first on the moon'],['moon'],['first on the moon'],[],[],[],['moon']
991,Where is joy sengupta from?,['Joy Sengupta'],['joy sengupta'],[],['joy sengupta'],['joy sengupta'],[],['joy sengupta'],['joy sengupta']
992,what books have lew wallace written?,['Lew Wallace'],['lew wallace'],"['books', 'lew wallace']",['lew wallace'],['lew wallace'],[],['lew wallace'],['lew wallace']
993,What is the name of a short story?,['short story'],[],['short story'],['short story'],[],[],[],['short story']
994,Which movie did byron haskin directed?,['Byron Haskin'],['byron haskin'],"['movie', 'byron haskin']",['byron haskin'],['byron haskin'],[],['byron haskin'],['byron haskin']
995,what country is sarvakalashala filmed in ,['Sarvakalashala'],['sarvakalashala'],"['country', 'sarvakalashala']",['sarvakalashala'],[],['sarvakalash'],['sarvakalashala'],"['country', 'sarvakalashala']"
996,What kind of music does beverly bivens fall under?,['Beverly Bivens'],['beverly bivens'],"['music', 'beverly bivens']",['beverly bivens'],['beverly bivens'],[],['beverly bivens'],['beverly bivens']
997,which country is hans-joachim ressel from,['Hans-Joachim Ressel'],['hans-joachim ressel'],['country'],['hans-joachim ressel'],['hans-joachim ressel'],[],['hans-joachim ressel'],['hans-joachim ressel']
998,"who is a person born in fredericksburg, virginia",['Fredericksburg'],"['fredericksburg', 'virginia']","['person', 'fredericksburg', 'virginia']","['fredericksburg', 'virginia']","['fredericksburg', 'virginia']","['f', 'ericksburg']","['fredericksburg', 'virginia']","['fredericksburg', 'virginia']"
999,What is an interactive fiction awarded game featured by a single-player?,['single-player video game'],[],"['interactive fiction', 'game', 'single-player']","['interactive fiction', 'game', 'single-player']",[],[],[],"['interactive fiction', 'game', 'single-player']"
1000,what city was niki de saint phalle born,['Niki de Saint Phalle'],['niki de saint phalle'],['city'],['niki de saint phalle'],['niki de saint phalle'],[],['niki de saint phalle'],['niki de saint phalle']
