,subjects,predicates,objects,question,subject_labels,predicate_labels,object_labels
85,"['Q10373548', 'Q27']","['P31*/wdt', 'P17']","['Q2482', 'Q502578', 'Q735484', 'Q1867525', 'Q3312688', 'Q28231971', 'Q28408323', 'Q85797673']",Give me all whiskey distilleries in Ireland.,"['whiskey distilleries', 'Ireland']","['instance of', 'country']","['Jameson', 'Cooley Distillery', 'Tullamore Dew', 'Kilbeggan Distillery', 'New Midleton Distillery', 'Bandon Distillery', 'Teeling Distillery', 'Roe & Co Distillery']"
86,['Q729'],"['P31*/wdt', 'P2002', 'P31']",['-'],Find animals with Twitter accounts.,['animals'],"['instance of', 'Twitter username', 'instance of']",['-']
87,['Q36784'],['P31'],['18'],How many regions of France are there?,['regions of France'],['instance of'],['18']
88,"['Q5', 'Q11344']","['P31*/wdt', 'P138', 'P31', 'P570']",['Q1144326'],Which living people have an element named after them?,"['people', 'chemical element']","['instance of', 'named after', 'instance of', 'date of death']",['Yuri Oganessian']
89,"['Q4830453', 'Q298', 'Q30']","['P31*/wdt', 'P17', 'P749', 'P17']",['-'],Which Chilean companies have U.S. parent companies?,"['companies', 'Chilean', 'U.S.']","['instance of', 'country', 'parent organization', 'country']",['-']
90,['Q3772'],"['P57', 'P577']",['False'],Did Tarantino direct a movie last year?,['Tarantino'],"['director', 'publication date']",['False']
91,"['Q22645', 'Q29520']","['P31*/wdt', 'P176', 'P17/wdt']","['Q3540222', 'Q6506392', 'Q16927701', 'Q17051310', 'Q18206818', 'Q24886353', 'Q25437917', 'Q28187447', 'Q29179776', 'Q30637968']",Which smartphones are made in China?,"['smartphones', 'China']","['instance of', 'manufacturer', 'country']","['Lenovo IdeaPhone K900', 'LePhone', 'Lenovo A526', 'Lenovo P780', 'Lenovo Vibe Z2 Pro', 'Lenovo Vibe K4 Note', '-', 'Lenovo Z2 Plus', 'Lenovo P2', 'Lenovo K6 Power']"
92,['Q55983715'],"['P31*/wdt', 'P487']",['-'],Which animals have a Unicode character?,['animals'],"['instance of', 'Unicode character']",['-']
93,"['Q11424', 'Q19020']","['P31/wdt', 'P166', 'P31/wdt', 'P577']",['Q190956'],Which movie of the past decade has won the most Academy Awards?,"['movie', 'Academy Awards']","['instance of', 'award received', 'instance of', 'publication date']",['Amadeus']
94,"['Q174174', 'Q1420', 'Q9584']","['P31*/wdt', 'P516', 'P176']",['-'],Which diesel cars are made by Honda?,"['diesel', 'cars', 'Honda']","['instance of', 'power source', 'manufacturer']",['-']
95,['Q28835'],"['P166', 'P166', 'P585']",['Q2641168'],Who was the winner of the latest Fields Medal?,['Fields Medal'],"['award received', 'award received', 'point in time']",['Alessio Figalli']
96,['Q26505'],['P50'],['Q23434'],Who wrote The Old Man and the Sea?,['The Old Man and the Sea'],['author'],['Ernest Hemingway']
97,"['Q17558136', 'Q395']","['P31*/wdt', 'P921']","['Q66565938', 'Q47490713', 'Q55100562', 'Q55345122']",Which YouTube channels talk about maths?,"['YouTube channels', 'maths']","['instance of', 'main subject']","['Mathologer', 'PBS Infinite Series', 'Numberphile', '3Blue1Brown']"
98,"['Q178359', 'Q38']","['P31*/wdt', 'P495']","['Q16590870', 'Q997633', 'Q3596097', 'Q1105371', 'Q9896', 'Q1147677', 'Q1162965', 'Q1863568', 'Q2915859', 'Q3606603']",List Italian sauces.,"['sauce', 'Italy']","['instance of', 'country of origin']","['-', ""sugo all'amatriciana"", 'tomato sauce', 'cocktail sauce', 'pesto', 'sofrito', 'bolognese sauce', 'Avgolemono', 'fettuccine Alfredo', 'Agliata']"
99,['Q17928040'],['P2293'],"['Q61335', 'Q1519482', 'Q21097867']",What diseases are associated with the gene FGF14?,['FGF14'],['genetic association'],"['pre-eclampsia', 'gestational hypertension', 'spinocerebellar ataxia type 27']"
100,"['Q24039974', 'Q10576']","['P31*/wdt', 'P59']",['Q23986556'],What ultra-cool dwarfs have been found in the constellation Aquarius?,"['ultra-cool dwarfs', 'Aquarius']","['instance of', 'constellation']",['TRAPPIST-1']
